OccurredYear,Count_
2014,2
2014,20
2014,2
2014,7
2014,8
2014,18
2014,31
2014,13
2014,5
2014,15
2014,10
2014,7
2014,16
2014,2
2014,2
2014,19
2015,7
2015,36
2015,4
2015,15
2015,17
2015,36
2015,50
2015,11
2015,11
2015,24
2015,21
2015,16
2015,14
2015,9
2015,3
2015,14
2016,16
2016,36
2016,17
2016,23
2016,15
2016,54
2016,65
2016,27
2016,11
2016,21
2016,29
2016,22
2016,20
2016,5
2016,9
2016,37
2017,18
2017,25
2017,14
2017,23
2017,15
2017,44
2017,68
2017,11
2017,11
2017,27
2017,35
2017,30
2017,24
2017,10
2017,6
2017,31
2018,12
2018,36
2018,16
2018,27
2018,14
2018,49
2018,67
2018,23
2018,12
2018,30
2018,32
2018,30
2018,30
2018,14
2018,9
2018,26
2019,15
2019,47
2019,27
2019,16
2019,23
2019,61
2019,64
2019,37
2019,22
2019,23
2019,35
2019,40
2019,19
2019,9
2019,13
2019,41
